score,verdict,prompt_score,answer_score,context_score,value_score,source,deck_path,front_clean,front,back_clean,example,note_fa,source_url,source_context,note_id
82,strong,22,27,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,le dessous des cartes,le dessous des cartes,"Ce qui se passe réellement, caché derrière les apparences.",permanente contre la France soumise. Ça c'est le dessous des cartes. Mais le,,https://www.youtube.com/watch?v=hjMLn8XcRIA,permanente contre la France soumise. Ça c'est le dessous des cartes. Mais le,e2f83de8a69b4a13b60f9914f40a67a7
82,strong,22,27,21,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",profondément,profondément,"De manière intense, en profondeur. La société a profondément changé.",profondément changé. On n plus aujourd'hui à l'heure de la,,https://www.youtube.com/watch?v=ye52UrNeNLw,profondément changé. On n plus aujourd'hui à l'heure de la,7259dad700d74bf29329ed3c3d8cc9f7
82,strong,22,27,21,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner","rural, rurale","rural, rurale",Qui concerne la campagne. Contraire : urbain. Les territoires ruraux.,"je suis beaucoup sur le terrain, en particulier dans les territoires ruraux.",,https://www.youtube.com/watch?v=ye52UrNeNLw,"je suis beaucoup sur le terrain, en particulier dans les territoires ruraux.",d641d4419add46b296916aa35e59be77
82,strong,22,27,21,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",un enjeu,un enjeu,Ce que l'on peut gagner ou perdre ; question importante en débat. Un enjeu majeur.,"va devenir un de nos enjeux majeurs ? Vous allez pas me dire le contraire,",,https://www.youtube.com/watch?v=ye52UrNeNLw,"va devenir un de nos enjeux majeurs ? Vous allez pas me dire le contraire,",40f9b1cee84f42ea84048eb4d12c90c2
82,strong,22,27,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,une enquête,une enquête,"Recherche méthodique de faits — judiciaire, policière ou journalistique.",enquête du parquet national financier et sa réaction sur les réseaux sociaux.,,https://www.youtube.com/watch?v=hjMLn8XcRIA,enquête du parquet national financier et sa réaction sur les réseaux sociaux.,df7edab81016433c93f0d0adfa252a6a
81,strong,22,27,20,12,vocab.md,French::Édito B1::Livre,remonter le moral à quelqu’un,remonter le moral à quelqu’un,Redonner courage et optimisme à quelqu’un.,Ses amis essaient de lui remonter le moral.,روحیه دادن,,,743aec77d67a495e8d0738126e31a0ee
81,strong,22,27,20,12,vocab.md,French::Édito B1::Livre,se remettre de,se remettre de,Retrouver son équilibre ou sa santé après une difficulté.,Elle se remet lentement de cette épreuve.,سرحال شدن,,,19271332f81947fdbabf934e503fae40
81,strong,22,27,20,12,vocab.md,French::Édito B1::Livre,s’amouracher de,s’amouracher de,Tomber amoureux de quelqu’un de façon soudaine et souvent passagère.,Il s’est amouraché d’une collègue de travail.,tomber amoureux de qq'un,,,e8023a2fd16542d09fbd54edcb480794
81,strong,22,27,20,12,vocab.md,French::Édito B1::Livre,un échec,un échec,Le fait de ne pas réussir ; un résultat décevant.,Cet échec lui a permis de comprendre ses erreurs.,همینطور شطرنج,,"Après cet échec, il a tout recommencé. — Il joue aux échecs.",db65821316d24cc9afbeebcc1d517132
80,strong,22,32,18,8,vocab.md,French::Édito B1::Livre,citoyen / citoyenne,citoyen / citoyenne,Personne qui appartient à une nation et bénéficie de droits et assume des devoirs civiques.,Chaque citoyen peut participer à la vie démocratique.,,,,620e7e459cd54858b9db419f029d433d
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,avertir quelqu’un de quelque chose,avertir quelqu’un de quelque chose,Informer quelqu’un d’un fait ou d’un problème à venir.,Je dois l’avertir de mon retard.,,,Elle a envoyé un message pour avertir d'un retard.,75ce819fdf8c4601b25c8624e36a7714
79,useful,22,32,13,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,avoir envie de,avoir envie de,"Désirer, souhaiter. « J'ai envie de dire » sert surtout, à l'oral, à atténuer ce qui suit.","conscription écologique, j'ai envie de dire, qui existe déjà puisque les",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"conscription écologique, j'ai envie de dire, qui existe déjà puisque les",fc3023766be44b4d91b27bcff9e4fbf6
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,céder,céder,"Laisser à autrui sa place, son tour, ou ce que l'on possède.",Cédez votre place aux personnes âgées.,,,Cédez votre place aux personnes âgées.,e78bd97b4baa4885ab89768611bab1e6
79,useful,22,27,18,12,vocab.md,French::Édito B1::Unité 2,faire chier quelqu’un,faire chier quelqu’un,Ennuyer ou agacer fortement quelqu’un. Expression vulgaire et familière.,Arrête de me faire chier !,,,,98a0a2027b3c49059574527235f283ec
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,gêner,gêner,Mettre quelqu’un mal à l’aise ou causer un désagrément.,Ça me gêne de parler devant tout le monde.,,,,04c23770d1f746cdbc7f0de344bb79a7
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,inonder,inonder,"Couvrir d'eau ; au figuré, submerger par une trop grande quantité.",N'inondez pas vos amis de photos de vacances.,,,N'inondez pas vos amis de photos de vacances.,de112e0512c1476fb5e4fec983ff2ce4
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,jaloux / jalouse,jaloux / jalouse,Qui éprouve de la jalousie ou craint de perdre l’affection de quelqu’un.,Il est jaloux de son frère. Elle est jalouse de sa sœur.,,,,9e9953b4b3b04561b2d1980188df53b4
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,le dénouement,le dénouement,La façon dont une intrigue se termine ; la fin de l'histoire.,Ne « spoilez » pas le dénouement.,,,Ne « spoilez » pas le dénouement.,060fc3b3355841549331999a66365602
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,plaire à quelqu’un,plaire à quelqu’un,Être agréable ou susciter l’appréciation de quelqu’un.,Ce livre plaît beaucoup aux étudiants.,,,,674ef6b2e66f45e3a293d71020853a0c
79,useful,22,27,18,12,vocab.md,French::Édito B1::Unité 2,reprocher quelque chose à quelqu’un,reprocher quelque chose à quelqu’un,Exprimer à quelqu’un son mécontentement à propos de quelque chose.,Je ne lui reproche pas son erreur.,,,,895051bb57cd459996deabb7cd2854a9
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,sans autorisation,sans autorisation,Sans avoir obtenu la permission ou l’accord nécessaire.,Il a utilisé la photo sans autorisation.,,,,615a27431bbd498f9b46387baac46cba
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,se tromper,se tromper,Commettre une erreur ou avoir une opinion incorrecte.,Je me suis trompé de chemin.,,,,0b36095f8905445fa4fdd254c3c5099b
79,useful,22,27,18,12,vocab.md,French::Édito B1::Unité 2,s’approcher de,s’approcher de,Venir plus près de quelqu’un ou de quelque chose.,Le chien s’est approché de la porte.,,,,28560b45bdc5432791103e8bbaa6d4eb
79,useful,22,32,13,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",un décalage,un décalage,"Écart, différence entre deux choses qui devraient correspondre. Un décalage entre le discours et la réalité.",Il y a il y a un profond décalage euh entre une vie politique à Paris qui,,https://www.youtube.com/watch?v=ye52UrNeNLw,Il y a il y a un profond décalage euh entre une vie politique à Paris qui,e4fc8cfd1e87425e8491c768e4f18e3f
79,useful,22,27,18,12,vocab.md,French::Édito B1::Livre,une avalanche de,une avalanche de,"Une très grande quantité de choses qui arrive en peu de temps, au sens figuré.","Après le concert, elle a reçu une avalanche de messages.",,,,496bc3c1defe4079b5b1c3fc358bd02f
77,useful,22,22,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,promettre,promettre,S'engager à faire qqch ; assurer que qqch aura lieu. Promettre qqch à qqn.,"Donc Édouard Philippe peut promettre ce qu'il veut. Il a un bilan, celui du",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"Donc Édouard Philippe peut promettre ce qu'il veut. Il a un bilan, celui du",18d40b1568634baea8082880183b4e96
76,useful,22,27,15,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",aggraver,aggraver,"Rendre plus grave, empirer. Aggraver les causes d'un problème.",d'aggraver les causes euh du problème. Il reste profondément euh euh sur une,,https://www.youtube.com/watch?v=ye52UrNeNLw,d'aggraver les causes euh du problème. Il reste profondément euh euh sur une,bf09137c2ce84138bf109e4bdecf7ad5
74,useful,22,22,18,12,vocab.md,French::Édito B1::Livre,avoir hâte de,avoir hâte de,Être impatient de faire quelque chose.,J’ai hâte de commencer mes vacances.,,,,1a8757c7db264566b6a26e05dfda9cea
74,useful,22,22,18,12,vocab.md,French::Édito B1::Livre,hyper fan,hyper fan,"Très grand admirateur de qqn. « Hyper- » : préfixe d'intensité, familier.",Je suis hyper fan de cette série.,,,Je suis hyper fan de cette série.,e43cf789c314497891fa4c2a36fd4332
74,useful,22,27,13,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,indigne (de),indigne (de),Qui n'est pas digne de ; qui déshonore. C'est indigne d'un candidat.,c'est indigne je crois d'un candidat de la République qui se dit du camp,,https://www.youtube.com/watch?v=hjMLn8XcRIA,c'est indigne je crois d'un candidat de la République qui se dit du camp,afbc36334cc548f492d8441aed5db74b
74,useful,22,27,13,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,la défaite,la défaite,"Fait de perdre une élection, une bataille. Contraire : la victoire.",pas digéré la défaite et que la machine à remonter le temps n'existe pas,,https://www.youtube.com/watch?v=hjMLn8XcRIA,pas digéré la défaite et que la machine à remonter le temps n'existe pas,cedb540a5169492caa7c62e1be0b0396
74,useful,22,22,18,12,vocab.md,French::Édito B1::Unité 2,la façon dont,la façon dont,La manière dont quelque chose se fait.,J’aime la façon dont elle explique les choses.,,,,0cf6f8574fe4479c908940e703c95b20
74,useful,22,27,13,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,le péril,le péril,Danger grave. Au péril de sa vie = en risquant sa vie.,"de l'été, qui parfois au péril de leur vie ont été en première ligne pour",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"de l'été, qui parfois au péril de leur vie ont été en première ligne pour",57b64b18213f4da997c9acbf6e2da2d9
74,useful,22,27,13,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,renvoyer,renvoyer,"Ici, sens juridique : reporter une audience à une date ultérieure. Signifie aussi congédier qqn, ou lui retourner qqch.","que cette audience soit renvoyée, c'est une victoire euh euh pour Rimaastan et",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"que cette audience soit renvoyée, c'est une victoire euh euh pour Rimaastan et",b388b40902974bd3933b8c0178f3d09a
74,useful,22,27,13,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",tomber d'accord (avec qqn),tomber d'accord (avec qqn),Finir par être du même avis. Distinct de « tomber » = chuter.,monde peut tomber d'accord avec vous sur la nécessité de faire attention à notre,,https://www.youtube.com/watch?v=ye52UrNeNLw,monde peut tomber d'accord avec vous sur la nécessité de faire attention à notre,364571ee5bd34db2a58cb2530c4ab6d5
74,useful,22,22,18,12,vocab.md,French::Édito B1::Livre,à l’époque où,à l’époque où,À la période où ; pendant le temps où.,"À l’époque où je vivais à Paris, je prenais le métro chaque jour.",,,,4b2c5bc3037e4f7494230947df7e0cd5
74,useful,22,22,18,12,vocab.md,French::Édito B1::Livre,à quelle vitesse,à quelle vitesse,À quel rythme ; avec quelle rapidité.,À quelle vitesse roule ce train ?,,,,fb97b09582de40f3be811e4800fc23d1
70,useful,22,22,18,8,vocab.md,French::Édito B1::Livre,au maximum,au maximum,Pas plus de ; tout au plus.,Vous pouvez prendre au maximum deux comprimés par jour.,,,,7e05189007a8403d9c077fbf806752bf
69,useful,22,22,13,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,subir,subir,"Supporter qqch que l'on n'a pas choisi. Subir une attaque, subir des critiques.","est accusé, il est accusé, il a subi depuis qu'il a été élèire et tout cela",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"est accusé, il est accusé, il a subi depuis qu'il a été élèire et tout cela",a03ad714724c49e380675ba86daca62f
69,useful,22,22,13,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",un appui,un appui,Soutien apporté à qqn. Venir en appui de qqn ; apporter son appui.,d'agriculteurs qui se sont portés en appui des pompiers et qui ont apporté,,https://www.youtube.com/watch?v=ye52UrNeNLw,d'agriculteurs qui se sont portés en appui des pompiers et qui ont apporté,20670e65e60049e1ae275d2b8b8d09a7
69,useful,22,14,21,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",une décennie,une décennie,Période de dix ans.,ce que disent les scientifiques depuis des décennies. La condition à mes yeux,,https://www.youtube.com/watch?v=ye52UrNeNLw,ce que disent les scientifiques depuis des décennies. La condition à mes yeux,ff7f87e4fe134325bb0c7dc59c50bd45
69,useful,22,22,13,12,language-reactor,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",une perte,une perte,Fait de perdre qqch. La perte de la biodiversité.,"l'effondrement, la perte de la biodiversité, c'est devenu un enjeu de",,https://www.youtube.com/watch?v=ye52UrNeNLw,"l'effondrement, la perte de la biodiversité, c'est devenu un enjeu de",52f39c2e46b6445cb00eac96bf108666
66,useful,22,22,10,12,vocab.md,French::Édito B1::Grammaire,avant de + infinitif,**avant de** + infinitif,Avant + nom ; avant de + infinitif.,avant le repas · avant **de** partir,,,avant le repas · avant **de** partir,0e022505a2994c3cb9b74af698737c64
66,useful,22,32,0,12,vocab.md,French::Édito B1::Livre,auprès (de),auprès (de),"Près de, à côté de ; sert aussi à indiquer l'interlocuteur d'une démarche (se renseigner auprès de).",,,,,1f2dae6814c34177997a09365d1fcea1
66,useful,22,32,0,12,vocab.md,French::Édito B1::Livre,divulgâcher,divulgâcher,Révéler le dénouement d'une œuvre et en gâcher la découverte. Mot-valise : divulguer + gâcher ; équivalent français de « spoiler ».,,,,,a7d6b90b4b524137a83d839c9bac73e0
66,useful,22,32,0,12,vocab.md,French::Édito B1::Livre,les smileys,les smileys,"Petites figures représentant une expression du visage, utilisées dans les messages. Anglicisme.",,,,,11b1fd7eb12f44268cd31b63fc43bf75
66,useful,22,32,0,12,vocab.md,French::Édito B1::Unité 2,relou,relou,"Familier — verlan de « lourd ». Pénible, ennuyeux, agaçant. Se dit d'une personne ou d'une situation.",,,,,59ceb7051307401da17e280c5e996d9f
66,useful,22,32,0,12,vocab.md,French::Édito B1::Unité 2,une bonne idée,une bonne idée,"Proposition judicieuse, pertinente. Au pluriel : « de bonnes idées » — voir la règle des → de.",,,,,b4d8e4bf5acb4876bbdc9960c1e40993
65,useful,16,27,10,12,vocab.md,French::Édito B1::Grammaire,des → de devant un adjectif,**des → de** devant un adjectif,"Au pluriel, quand l'adjectif est placé avant le nom, des devient de.",de jolies fleurs · de nouveaux films · de nouvelles séries *(mais : des films nouveaux — adjectif après le nom)*,,,de jolies fleurs · de nouveaux films · de nouvelles séries *(mais : des films nouveaux — adjectif après le nom)*,55a82987e6e04dbb8a2cf813fbadbbb7
64,needs polish,22,14,16,12,vocab.md,French::Édito B1::Unité 2,énerver quelqu’un,énerver quelqu’un,Agacer ou irriter quelqu’un.,Le bruit des travaux m’énerve.,,,,667e93021e4a4f8d8090717ba438a5da
63,needs polish,22,27,2,12,vocab.md,French::Édito B1::Livre,coupable,coupable,Qui a commis une faute ; responsable d'un acte répréhensible.,,گناهکار,,,a0b704dbf35c4dd78a22250d89dd8650
63,needs polish,22,27,2,12,vocab.md,French::Édito B1::Livre,l'âme sœur,l'âme sœur,Personne avec qui l'on se sent en parfaite affinité ; le partenaire idéal.,,نیمه گمشده,,,2632b8c3baf947cb84b666f15805ce31
63,needs polish,10,27,18,8,vocab.md,French::Édito B1::Livre,être / suivre : je suis,être / suivre : je suis,« Je suis » est la première personne du singulier au présent de être et de suivre.,Je suis fatigué. / Je suis le guide.,,,,af5f09a42c2d4a19878d4001f6ce5527
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,"bref, brève","bref, brève","Adj. Court, de courte durée. Adv. « Bref » seul = en résumé, pour conclure.",,,,,5f44e41d3cb24c7eb35c6d6c13dec646
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,briser le silence,briser le silence,Rompre le silence ; se mettre à parler alors que personne ne parlait.,,,,,fa835afdabf049c6b453ecabd1eade1c
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,débattre,débattre,Discuter d'une question en échangeant des arguments.,,,,,ca2c60ea5ce64173a812673bf2e6fc39
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,exprimer,exprimer,Faire connaître sa pensée ou ses sentiments par le langage.,,,,,84e25d40f51a44f38e53e93291c4f62c
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,indispensable,indispensable,Dont on ne peut pas se passer ; absolument nécessaire.,,,,,8cea9035819342a69cc7ab71ac623391
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,la faune,la faune,Ensemble des espèces animales d'une région.,,,,,16c390d55b43470ca0e3c12c8c54e68e
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,la flore,la flore,Ensemble des espèces végétales d'une région.,,,,,e149f09c50f243bf92ea5281dcb4c573
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,la fratrie,la fratrie,Ensemble des frères et sœurs d'une même famille.,,,,,73fcf94f814e436997510f243e009e6d
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,la maison de retraite,la maison de retraite,Établissement qui héberge des personnes âgées.,,,,,9899c636227543c898b304d4000bebad
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,la règle,la règle,Principe qui régit une conduite ou un fonctionnement ; norme.,,,,,469a7bd758164acbaffdd506364bf480
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,la règle selon laquelle,la règle selon laquelle,Locution relative servant à énoncer une règle (selon laquelle = d'après laquelle).,,,,,481763078a904742897800878e88ba7e
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,la rédaction,la rédaction,Action d'écrire un texte ; manière dont il est écrit.,,,,,16d1624bab4f4d59bf875b9b5437eed6
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,le savoir-vivre,le savoir-vivre,Connaissance et pratique des usages de la politesse en société.,,,,,bb7a29f55e3c4470ad7c941862c63d72
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,les bonnes manières,les bonnes manières,Ensemble des comportements considérés comme polis en société.,,,,,67414816efd3417f813b2403c9705685
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,les bonnes manières numériques,les bonnes manières numériques,Règles de politesse à respecter dans les échanges en ligne. La « nétiquette ».,,,,,2339405f0a1f4b3abee8a5f2334b3200
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,les émoticônes,les émoticônes,Équivalent français de « smiley » : symbole exprimant une émotion dans un message.,,,,,968cad5bbf7a43e6848a4e7b70dda364
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,ne pas + infinitif,ne pas + infinitif,"Négation : devant un infinitif, les deux éléments restent groupés (ne pas taguer).",,,,,5fce5813a07942c9bb8985b779ca06cd
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,regrouper,regrouper,Rassembler en un seul ensemble ce qui était dispersé.,,,,,3f85f5825129429aae1155ebc35ab10d
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,règle de conduite,règle de conduite,Principes qui déterminent la façon de se comporter.,,,,,a6bf6fa2f4a744a8bc5b8ce47ee97028
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Livre,très,très,"Adverbe d'intensité, qui modifie un adjectif ou un adverbe.",,,,,a079852decbd40989263f8940ea451ba
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,une espèce,une espèce,Ensemble d'êtres vivants qui peuvent se reproduire entre eux ; catégorie.,,,,,8a6d155ee61e445dbe541ddc6cef46a6
61,needs polish,22,27,0,12,vocab.md,French::Édito B1::Unité 2,vivant,vivant,"Qui vit, qui est en vie ; par extension, animé, plein de vie.",,,,,265bd11292b84c61a795993c20c38b19
58,needs polish,22,22,2,12,vocab.md,French::Édito B1::Livre,trahir,trahir,Manquer à la fidélité ou à la parole donnée envers qqn.,,خیانت کردن,,,5200cb4c743548c8beda63029c5f0025
56,needs polish,22,22,0,12,vocab.md,French::Édito B1::Unité 2,embêter,embêter,"Contrarier, importuner qqn. Familier mais tout à fait acceptable.",,,,,8ff3e8bffee24bda8f0184d2abfdf13c
56,needs polish,22,22,0,12,vocab.md,French::Édito B1::Livre,gâcher,gâcher,"Abîmer qqch, lui faire perdre sa valeur ou son agrément.",,,,,714f22b16ce04f5bbb2f7f21953a7e43
56,needs polish,22,22,0,12,vocab.md,French::Édito B1::Livre,taguer,taguer,"Identifier, marquer qqn sur une photo ou une publication en ligne.",,,,,31abc0a95e0046a882730791a2872905
53,needs polish,22,27,0,4,vocab.md,French::Édito B1::Livre,production orale,production orale,Activité ou épreuve où l'apprenant s'exprime à l'oral.,,,,,9009ad3267654d0294b3abb26c9fc710
48,needs polish,22,14,0,12,vocab.md,French::Édito B1::Livre,en même temps,en même temps,"Simultanément, dans le même moment.",,,,,c8dc1f8835bd4be9949cb82e744c5d98
48,needs polish,22,14,0,12,vocab.md,French::Édito B1::Livre,les fringues,les fringues,Vêtements. Registre familier.,,,,,b956d5bee041434e8af4c2709f95b34b
48,needs polish,22,14,0,12,vocab.md,French::Édito B1::Livre,rapport de voyage,rapport de voyage,"Comptes rendus, récits de voyage.",,,,,c600e53e65c347baa0bd4e5171346e69
46,needs polish,22,12,0,12,lingoda,French::Lingoda,autant que possible,autant que possible,as much as possible,,,,,0682dbd2f06141a397d86b0e1a19aac1
46,needs polish,22,12,0,12,lingoda,French::Lingoda,avoir des idées tranchées,avoir des idées tranchées,to have strong opinions,,,,,3598ed5ae1aa4d58b5384acb18de2bdc
46,needs polish,22,12,0,12,lingoda,French::Lingoda,l'intelligence artificielle,l'intelligence artificielle,artificial intelligence,,,,,ff811a7d838d45c68fe89168d1cad628
46,needs polish,22,12,0,12,lingoda,French::Lingoda,l'organisation politique,l'organisation politique,political organisation,,,,,0f0b1498c27e4418bb1c9bd7342e0cb0
46,needs polish,22,12,0,12,lingoda,French::Lingoda,la découverte scientifique,la découverte scientifique,scientific discovery,,,,,6207baf9e45949dcbaa6be0cd8d5c437
46,needs polish,22,12,0,12,lingoda,French::Lingoda,s'exprimer,s'exprimer,to express oneself,,,,,8d10b81b55c74cb5a925152903c389fb
